"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","9855","Successfully performance_glitch_user login","","Sun May 11 08:37:01 BDT 2025","passed","Sun May 11 08:37:11 BDT 2025","","performance_glitch_user Product Purchase Test","",""
"","15531","successfully show error message for locked_out_user","","Sun May 11 08:35:53 BDT 2025","passed","Sun May 11 08:36:08 BDT 2025","","Locked_Out_User Login Test","",""
"","4081","Successfully Logout","","Sun May 11 08:36:57 BDT 2025","passed","Sun May 11 08:37:01 BDT 2025","","Standard_User Product Purchase Test","",""
"","69","Successfully Verify Product price and total","","Sun May 11 08:37:43 BDT 2025","passed","Sun May 11 08:37:43 BDT 2025","","performance_glitch_user Product Purchase Test","",""
"","6128","Successfully Add product to Cart","","Sun May 11 08:37:22 BDT 2025","passed","Sun May 11 08:37:28 BDT 2025","","performance_glitch_user Product Purchase Test","",""
"","3130","Successfully Reset The App State","","Sun May 11 08:36:53 BDT 2025","passed","Sun May 11 08:36:57 BDT 2025","","Standard_User Product Purchase Test","",""
"","14269","Successfully Verify the Successful Order Message.","","Sun May 11 08:37:43 BDT 2025","passed","Sun May 11 08:37:57 BDT 2025","","performance_glitch_user Product Purchase Test","",""
"","6408","Successfully Standard_User login","","Sun May 11 08:36:08 BDT 2025","passed","Sun May 11 08:36:15 BDT 2025","","Standard_User Product Purchase Test","",""
"","52","Successfully Verify Product Prices and Totals","","Sun May 11 08:36:47 BDT 2025","passed","Sun May 11 08:36:47 BDT 2025","","Standard_User Product Purchase Test","",""
"","12443","Successfully Go to Checkout Page","","Sun May 11 08:36:33 BDT 2025","passed","Sun May 11 08:36:45 BDT 2025","","Standard_User Product Purchase Test","",""
"","2032","Successfully Verify ProductsName In Checkout page","","Sun May 11 08:37:41 BDT 2025","passed","Sun May 11 08:37:43 BDT 2025","","performance_glitch_user Product Purchase Test","",""
"","12461","Successfully Go to Checkout Page","","Sun May 11 08:37:28 BDT 2025","passed","Sun May 11 08:37:41 BDT 2025","","performance_glitch_user Product Purchase Test","",""
"","5713","Successfully Reset The App State","","Sun May 11 08:37:11 BDT 2025","passed","Sun May 11 08:37:16 BDT 2025","","performance_glitch_user Product Purchase Test","",""
"","6159","Successfully Verify the Successful Order Message.","","Sun May 11 08:36:47 BDT 2025","passed","Sun May 11 08:36:53 BDT 2025","","Standard_User Product Purchase Test","",""
"","5966","Successfully sort products by Name from Z to A","","Sun May 11 08:37:16 BDT 2025","passed","Sun May 11 08:37:22 BDT 2025","","performance_glitch_user Product Purchase Test","",""
"","18066","Successfully Add Products to cart","","Sun May 11 08:36:15 BDT 2025","passed","Sun May 11 08:36:33 BDT 2025","","Standard_User Product Purchase Test","",""
"","2051","Successfully Verify ProductsNames In Checkout page","","Sun May 11 08:36:45 BDT 2025","passed","Sun May 11 08:36:47 BDT 2025","","Standard_User Product Purchase Test","",""
"","4080","Successfully Logout","","Sun May 11 08:37:57 BDT 2025","passed","Sun May 11 08:38:01 BDT 2025","","performance_glitch_user Product Purchase Test","",""
